text,intent,priority,sentiment,needs_handoff
"Please, I can't log into my account",account_issue,medium,negative,no
Why can't I access my telecom account as soon as possible,account_issue,high,negative,yes
The app says my account credentials are invalid right now,account_issue,high,negative,no
"Hello, I cannot verify my account on the portal right now",account_issue,high,negative,yes
"Hello, I forgot my password and cannot sign in",account_issue,medium,negative,no
"Please, I need help recovering my online account as soon as possible",account_issue,high,neutral,no
"Can you help, Please help me reset my account login urgently",account_issue,high,neutral,no
"Hi, Please help me reset my account login right now",account_issue,high,negative,yes
"Can you help, The app says my account credentials are invalid urgently",account_issue,high,negative,yes
Why can't I access my telecom account,account_issue,low,negative,no
"Please, The app says my account credentials are invalid right now",account_issue,high,negative,no
"Hi, I can't log into my account as soon as possible",account_issue,high,negative,no
I am unable to update my profile details right now,account_issue,high,neutral,yes
"Hi, My account is locked and I need help as soon as possible",account_issue,high,negative,yes
"Hi, I forgot my password and cannot sign in right now",account_issue,high,negative,yes
"Can you help, I can't log into my account right now",account_issue,high,negative,yes
"Hello, My account access stopped working today",account_issue,high,neutral,yes
"Hi, Please help me reset my account login right now",account_issue,high,neutral,no
I need help recovering my online account right now,account_issue,high,neutral,no
"Hello, Please help me reset my account login right now",account_issue,high,neutral,no
"Hi, My account access stopped working today as soon as possible",account_issue,high,neutral,no
Please help me reset my account login as soon as possible,account_issue,high,negative,yes
"Please, I am unable to update my profile details urgently",account_issue,high,neutral,no
"Hi, I cannot verify my account on the portal as soon as possible",account_issue,high,negative,yes
I cannot verify my account on the portal today,account_issue,high,negative,no
"Hello, My account access stopped working today",account_issue,high,neutral,yes
My account access stopped working today,account_issue,high,neutral,no
"Hello, I can't log into my account",account_issue,medium,negative,no
"Please, The app says my account credentials are invalid",account_issue,medium,negative,yes
"Hi, I am unable to update my profile details today",account_issue,high,neutral,no
"Hello, I cannot verify my account on the portal as soon as possible",account_issue,high,negative,yes
Please help me reset my account login,account_issue,medium,negative,no
"Can you help, Please help me reset my account login",account_issue,low,neutral,no
"Can you help, Why can't I access my telecom account",account_issue,medium,negative,no
"Can you help, The app says my account credentials are invalid urgently",account_issue,high,negative,no
"Hello, I forgot my password and cannot sign in today",account_issue,high,negative,yes
"Please, I am unable to update my profile details today",account_issue,high,negative,no
"Hi, The app says my account credentials are invalid today",account_issue,high,negative,yes
"Hi, My account is locked and I need help as soon as possible",account_issue,high,negative,yes
"Hi, Please help me reset my account login right now",account_issue,high,neutral,no
I can't log into my account right now,account_issue,high,negative,no
"Please, My account is locked and I need help today",account_issue,high,negative,yes
"Please, I forgot my password and cannot sign in",account_issue,medium,negative,no
"Can you help, My account access stopped working today right now",account_issue,high,neutral,yes
My account is locked and I need help today,account_issue,high,neutral,no
"Please, I need help recovering my online account urgently",account_issue,high,neutral,no
"Can you help, Why can't I access my telecom account today",account_issue,high,negative,yes
"Please, The app says my account credentials are invalid",account_issue,medium,negative,no
"Please, Please check my overdue bill status today",billing,high,negative,yes
"Can you help, The invoice amount looks wrong as soon as possible",billing,high,negative,yes
"Hello, Please check my overdue bill status today",billing,high,neutral,yes
"Can you help, I was charged twice for my mobile bill",billing,high,negative,yes
"Hello, There is an unknown charge on my account as soon as possible",billing,high,neutral,no
Can you explain the extra charge on my invoice right now,billing,high,neutral,yes
"Can you help, Can you explain the extra charge on my invoice",billing,medium,neutral,yes
"Can you help, There is an unknown charge on my account",billing,high,negative,yes
"Hi, I want a refund for the incorrect bill amount today",billing,high,neutral,no
Why did I get charged after making payment today,billing,high,negative,yes
There is an unknown charge on my account as soon as possible,billing,high,neutral,yes
"Can you help, Please check my overdue bill status",billing,medium,neutral,yes
"Hi, My payment went through but the bill still shows unpaid today",billing,high,neutral,yes
I want a refund for the incorrect bill amount as soon as possible,billing,high,neutral,no
"Can you help, Can you explain the extra charge on my invoice today",billing,high,neutral,no
"Please, Why is my bill higher than usual this month today",billing,high,neutral,yes
"Can you help, Can you explain the extra charge on my invoice today",billing,high,neutral,yes
"Hello, I want a refund for the incorrect bill amount as soon as possible",billing,high,neutral,yes
"Can you help, There is an unknown charge on my account as soon as possible",billing,high,negative,yes
"Can you help, My payment went through but the bill still shows unpaid urgently",billing,high,negative,yes
"Please, Why is my bill higher than usual this month as soon as possible",billing,high,neutral,no
Why is my bill higher than usual this month urgently,billing,high,neutral,yes
"Hi, Why is my bill higher than usual this month",billing,medium,neutral,yes
"Hi, The invoice amount looks wrong",billing,medium,negative,no
"Hi, The invoice amount looks wrong",billing,high,negative,yes
"Hi, Why did I get charged after making payment",billing,medium,negative,no
Can you explain the extra charge on my invoice as soon as possible,billing,high,neutral,yes
"Please, Why is my bill higher than usual this month as soon as possible",billing,high,negative,yes
"Hi, I was charged twice for my mobile bill",billing,medium,negative,no
"Hi, I was charged twice for my mobile bill",billing,high,negative,no
"Please, I was charged twice for my mobile bill",billing,medium,negative,yes
"Please, I want a refund for the incorrect bill amount",billing,high,neutral,no
"Hello, Why is my bill higher than usual this month today",billing,high,neutral,yes
I want a refund for the incorrect bill amount as soon as possible,billing,high,neutral,no
"Can you help, Can you explain the extra charge on my invoice today",billing,high,neutral,no
"Please, My payment went through but the bill still shows unpaid",billing,medium,negative,yes
"Can you help, Why did I get charged after making payment as soon as possible",billing,high,negative,yes
"Hi, I was charged twice for my mobile bill as soon as possible",billing,high,negative,yes
"Hi, The invoice amount looks wrong",billing,medium,negative,no
"Can you help, There is an unknown charge on my account urgently",billing,high,negative,yes
"Hi, The invoice amount looks wrong right now",billing,high,negative,yes
"Hello, There is an unknown charge on my account as soon as possible",billing,high,neutral,no
"Hello, Please check my overdue bill status urgently",billing,high,neutral,yes
"Hi, I want a refund for the incorrect bill amount today",billing,high,neutral,no
"Hi, The invoice amount looks wrong",billing,medium,negative,yes
"Can you help, Why is my bill higher than usual this month urgently",billing,high,negative,yes
"Can you help, I need help with a billing error as soon as possible",billing,high,negative,yes
"Please, Please check my overdue bill status as soon as possible",billing,high,negative,no
"Please, There is an unknown charge on my account as soon as possible",billing,high,negative,yes
"Hello, My payment went through but the bill still shows unpaid right now",billing,high,neutral,yes
"Hi, There is an unknown charge on my account urgently",billing,high,neutral,no
"Please, Can you explain the extra charge on my invoice right now",billing,high,neutral,no
"Can you help, My payment went through but the bill still shows unpaid",billing,medium,negative,yes
"Hi, My payment went through but the bill still shows unpaid right now",billing,high,neutral,yes
"Hi, My payment went through but the bill still shows unpaid urgently",billing,high,neutral,no
"Please, Can you explain the extra charge on my invoice as soon as possible",billing,high,neutral,yes
"Please, My payment went through but the bill still shows unpaid",billing,medium,negative,yes
Why did I get charged after making payment as soon as possible,billing,high,negative,yes
"Can you help, The invoice amount looks wrong as soon as possible",billing,high,negative,yes
My payment went through but the bill still shows unpaid today,billing,high,neutral,yes
I want a refund for the incorrect bill amount today,billing,high,neutral,yes
"Please, Why is my bill higher than usual this month right now",billing,high,neutral,no
"Hello, I was charged twice for my mobile bill right now",billing,high,negative,yes
"Please, I want a refund for the incorrect bill amount",billing,medium,neutral,no
"Can you help, The invoice amount looks wrong today",billing,high,negative,yes
"Please, I want a refund for the incorrect bill amount as soon as possible",billing,high,neutral,no
I need help with a billing error,billing,medium,negative,no
Can you explain the extra charge on my invoice right now,billing,high,neutral,yes
"Please, I was charged twice for my mobile bill right now",billing,high,negative,yes
"Can you help, The invoice amount looks wrong",billing,medium,negative,yes
"Hello, Why is my bill higher than usual this month right now",billing,high,neutral,yes
"Hello, The invoice amount looks wrong urgently",billing,high,negative,no
"Hi, My payment went through but the bill still shows unpaid",billing,medium,neutral,no
"Hi, I want a refund for the incorrect bill amount urgently",billing,high,neutral,no
"Hi, Can you explain the extra charge on my invoice as soon as possible",billing,high,neutral,yes
Why is my bill higher than usual this month right now,billing,high,neutral,yes
"Please, Why did I get charged after making payment as soon as possible",billing,high,negative,yes
The invoice amount looks wrong,billing,high,negative,no
"Can you help, My payment went through but the bill still shows unpaid",billing,medium,negative,yes
Why did I get charged after making payment urgently,billing,high,negative,yes
"Hello, Why did I get charged after making payment as soon as possible",billing,high,negative,yes
I need help with a billing error,billing,medium,neutral,no
"Hello, Why did I get charged after making payment urgently",billing,high,negative,yes
"Can you help, Please check my overdue bill status",billing,high,negative,yes
"Please, I want a refund for the incorrect bill amount",billing,high,neutral,yes
"Hello, I want a refund for the incorrect bill amount as soon as possible",billing,high,neutral,yes
Can you explain the extra charge on my invoice as soon as possible,billing,high,neutral,yes
"Can you help, My payment went through but the bill still shows unpaid",billing,high,neutral,yes
There is an unknown charge on my account as soon as possible,billing,high,neutral,yes
I want a refund for the incorrect bill amount,billing,medium,neutral,no
"Please, The invoice amount looks wrong today",billing,high,negative,yes
"Hi, Please check my overdue bill status as soon as possible",billing,high,negative,no
"Can you help, Why is my bill higher than usual this month right now",billing,high,negative,no
"Hi, My payment went through but the bill still shows unpaid today",billing,high,neutral,no
"Can you help, I was charged twice for my mobile bill urgently",billing,high,negative,no
"Please, I need help with a billing error",billing,medium,negative,no
Please check my overdue bill status today,billing,high,neutral,yes
The invoice amount looks wrong urgently,billing,high,negative,no
"Hi, The invoice amount looks wrong",billing,high,negative,no
"Hello, I want a refund for the incorrect bill amount today",billing,high,neutral,yes
"Hi, The invoice amount looks wrong",billing,medium,negative,yes
"Hi, Why did I get charged after making payment",billing,medium,negative,yes
My payment went through but the bill still shows unpaid today,billing,high,neutral,yes
"Please, My payment went through but the bill still shows unpaid urgently",billing,high,negative,no
"Hello, Why did I get charged after making payment",billing,medium,negative,yes
"Hi, The invoice amount looks wrong",billing,high,negative,yes
"Hello, Please check my overdue bill status",billing,high,negative,yes
"Hi, I need help with a billing error",billing,high,neutral,yes
There is an unknown charge on my account,billing,high,neutral,no
"Can you help, I want a refund for the incorrect bill amount",billing,medium,neutral,yes
Can you explain the extra charge on my invoice,billing,medium,neutral,yes
The invoice amount looks wrong urgently,billing,high,negative,no
"Can you help, Why is my bill higher than usual this month",billing,medium,negative,no
"Hi, I was charged twice for my mobile bill today",billing,high,negative,yes
"Hello, Why did I get charged after making payment",billing,high,negative,no
There is an unknown charge on my account,billing,medium,neutral,yes
"Hello, The invoice amount looks wrong",billing,medium,negative,no
I need help with a billing error,billing,medium,negative,yes
I want a refund for the incorrect bill amount urgently,billing,high,neutral,no
The invoice amount looks wrong right now,billing,high,negative,no
"Hello, Why is my bill higher than usual this month urgently",billing,high,neutral,yes
My payment went through but the bill still shows unpaid as soon as possible,billing,high,neutral,yes
"Can you help, Can you explain the extra charge on my invoice right now",billing,high,negative,no
"Hi, Can you explain the extra charge on my invoice right now",billing,high,neutral,yes
"Please, I want a refund for the incorrect bill amount",billing,medium,neutral,yes
"Please, How can I close my account and stop the plan right now",cancellation,high,negative,no
"Hello, I want to stop my current plan as soon as possible",cancellation,high,neutral,no
I want to stop my current plan as soon as possible,cancellation,high,neutral,no
"Please, How can I close my account and stop the plan urgently",cancellation,high,negative,yes
"Please, Help me end my broadband contract",cancellation,high,negative,yes
"Hello, I need to cancel my subscription immediately today",cancellation,high,neutral,yes
I need to cancel my subscription immediately today,cancellation,high,neutral,no
"Hello, I need to discontinue this service as soon as possible",cancellation,high,neutral,no
"Hello, I want to cancel my mobile line",cancellation,high,neutral,yes
I need to discontinue this service,cancellation,medium,neutral,yes
"Please, I want to stop my current plan as soon as possible",cancellation,high,neutral,no
"Hello, I need to cancel my subscription immediately",cancellation,high,neutral,yes
"Please, Help me end my broadband contract",cancellation,medium,neutral,no
I want to cancel my mobile line as soon as possible,cancellation,high,neutral,yes
I need to discontinue this service as soon as possible,cancellation,high,neutral,no
"Hi, Please terminate my telecom service as soon as possible",cancellation,high,negative,no
"Can you help, How can I close my account and stop the plan right now",cancellation,high,neutral,no
"Hello, Can I cancel without renewal",cancellation,high,neutral,yes
"Hello, I want to stop my current plan as soon as possible",cancellation,high,neutral,no
"Hello, Please terminate my telecom service today",cancellation,high,neutral,yes
"Hi, Please process service termination for my number",cancellation,high,neutral,yes
Help me end my broadband contract,cancellation,medium,negative,yes
"Hello, I need to discontinue this service today",cancellation,high,neutral,no
"Hello, Please terminate my telecom service",cancellation,medium,negative,yes
"Please, Can I cancel without renewal as soon as possible",cancellation,high,neutral,no
I want to stop my current plan,cancellation,high,neutral,no
"Can you help, Please terminate my telecom service right now",cancellation,high,neutral,yes
"Hello, I want to stop my current plan urgently",cancellation,high,neutral,yes
"Hi, Can I cancel without renewal right now",cancellation,high,neutral,yes
"Can you help, I no longer need this line and want to cancel it",cancellation,medium,negative,no
"Hi, Please process service termination for my number",cancellation,medium,negative,no
"Can you help, Help me end my broadband contract urgently",cancellation,high,negative,yes
"Can you help, I want to stop my current plan right now",cancellation,high,negative,yes
"Hello, Can I cancel without renewal",cancellation,high,neutral,yes
"Can you help, Help me end my broadband contract right now",cancellation,high,neutral,yes
I need to cancel my subscription immediately,cancellation,high,neutral,no
"Please, I want to cancel my mobile line urgently",cancellation,high,negative,yes
"Hi, I need to discontinue this service right now",cancellation,high,neutral,yes
"Please, I need to cancel my subscription immediately",cancellation,high,neutral,yes
"Hello, How can I close my account and stop the plan",cancellation,medium,neutral,yes
"Hi, How can I close my account and stop the plan",cancellation,high,neutral,yes
I want to cancel my mobile line right now,cancellation,high,neutral,yes
"Hello, I need to cancel my subscription immediately",cancellation,high,neutral,yes
How can I close my account and stop the plan as soon as possible,cancellation,high,neutral,yes
"Hi, Please process service termination for my number",cancellation,medium,neutral,yes
"Can you help, I no longer need this line and want to cancel it",cancellation,medium,neutral,yes
"Please, I need to cancel my subscription immediately",cancellation,high,neutral,no
"Please, Help me end my broadband contract today",cancellation,high,neutral,yes
"Can you help, Please process service termination for my number today",cancellation,high,neutral,yes
"Can you help, Please terminate my telecom service urgently",cancellation,high,negative,no
"Hi, Please terminate my telecom service right now",cancellation,high,negative,no
"Please, Can I cancel without renewal",cancellation,high,negative,no
"Please, Help me end my broadband contract today",cancellation,high,negative,yes
Can I cancel without renewal,cancellation,medium,neutral,yes
"Can you help, I need to cancel my subscription immediately today",cancellation,high,negative,yes
"Can you help, Please process service termination for my number",cancellation,medium,negative,yes
"Hello, Help me end my broadband contract as soon as possible",cancellation,high,neutral,no
"Can you help, Please terminate my telecom service urgently",cancellation,high,neutral,yes
"Can you help, Please terminate my telecom service",cancellation,medium,negative,yes
"Please, I want to cancel my mobile line",cancellation,medium,negative,no
Please process service termination for my number as soon as possible,cancellation,high,negative,no
Help me end my broadband contract,cancellation,high,negative,yes
"Please, Can I cancel without renewal right now",cancellation,high,neutral,no
"Can you help, I need to cancel my subscription immediately urgently",cancellation,high,negative,no
"Hello, Please terminate my telecom service as soon as possible",cancellation,high,neutral,yes
"Please, I need to discontinue this service",cancellation,medium,neutral,no
"Hello, I want to cancel my mobile line right now",cancellation,high,neutral,yes
"Hello, I no longer need this line and want to cancel it as soon as possible",cancellation,high,neutral,yes
"Hi, How can I close my account and stop the plan",cancellation,medium,neutral,yes
How can I close my account and stop the plan,cancellation,medium,neutral,yes
Can I cancel without renewal right now,cancellation,high,neutral,yes
"Can you help, I want to stop my current plan as soon as possible",cancellation,high,neutral,yes
"Hello, I no longer need this line and want to cancel it",cancellation,medium,neutral,yes
How can I close my account and stop the plan right now,cancellation,high,neutral,no
Please terminate my telecom service as soon as possible,cancellation,high,negative,no
"Can you help, I want to stop my current plan",cancellation,high,negative,yes
"Hi, Can I cancel without renewal urgently",cancellation,high,neutral,yes
"Can you help, Please terminate my telecom service as soon as possible",cancellation,high,negative,no
"Hello, I want to cancel my mobile line right now",cancellation,high,neutral,yes
"Please, I want to cancel my mobile line urgently",cancellation,high,neutral,yes
"Hi, How can I close my account and stop the plan as soon as possible",cancellation,high,neutral,yes
"Hello, Please terminate my telecom service urgently",cancellation,high,negative,no
"Can you help, How can I close my account and stop the plan right now",cancellation,high,negative,no
"Hi, Can I cancel without renewal",cancellation,medium,neutral,yes
Please process service termination for my number,cancellation,medium,negative,yes
"Can you help, Please terminate my telecom service as soon as possible",cancellation,high,negative,no
"Can you help, Please process service termination for my number as soon as possible",cancellation,high,neutral,yes
I no longer need this line and want to cancel it right now,cancellation,high,neutral,no
"Can you help, I no longer need this line and want to cancel it urgently",cancellation,high,negative,yes
"Hi, Please process service termination for my number",cancellation,high,neutral,yes
"Hello, I no longer need this line and want to cancel it right now",cancellation,high,neutral,yes
"Hi, Please terminate my telecom service",cancellation,medium,neutral,no
"Please, I need to cancel my subscription immediately as soon as possible",cancellation,high,negative,no
"Hi, I need to cancel my subscription immediately urgently",cancellation,high,neutral,yes
"Hello, I need to cancel my subscription immediately right now",cancellation,high,neutral,no
"Hi, Please terminate my telecom service right now",cancellation,high,negative,yes
"Please, I need to discontinue this service today",cancellation,high,negative,no
"Hello, How can I close my account and stop the plan today",cancellation,high,neutral,yes
"Can you help, I want to stop my current plan",cancellation,high,negative,no
I no longer need this line and want to cancel it,cancellation,medium,neutral,yes
"Can you help, I want to stop my current plan urgently",cancellation,high,neutral,yes
"Hello, Please terminate my telecom service",cancellation,medium,negative,yes
"Please, Can I cancel without renewal",cancellation,medium,negative,no
"Hi, I no longer need this line and want to cancel it",cancellation,high,neutral,no
"Hi, I want to cancel my mobile line today",cancellation,high,neutral,yes
"Hello, Please terminate my telecom service",cancellation,medium,neutral,yes
"Hi, I want to stop my current plan today",cancellation,high,neutral,no
"Please, I need to discontinue this service right now",cancellation,high,negative,yes
"Hello, Please process service termination for my number today",cancellation,high,negative,no
"Please, I want to cancel my mobile line",cancellation,medium,negative,yes
"Hello, Please terminate my telecom service",cancellation,medium,negative,yes
"Hello, I need to discontinue this service right now",cancellation,high,neutral,yes
I need to discontinue this service,cancellation,medium,neutral,yes
"Hello, Please process service termination for my number right now",cancellation,high,neutral,yes
"Please, Please process service termination for my number",cancellation,high,neutral,no
"Please, Please terminate my telecom service",cancellation,medium,negative,no
"Hello, I want to cancel my mobile line as soon as possible",cancellation,high,neutral,yes
"Hi, I need to cancel my subscription immediately as soon as possible",cancellation,high,neutral,yes
"Hi, I need to cancel my subscription immediately right now",cancellation,high,neutral,yes
Help me end my broadband contract urgently,cancellation,high,neutral,no
"Hello, I need to discontinue this service right now",cancellation,high,neutral,no
"Can you help, How can I close my account and stop the plan right now",cancellation,high,neutral,no
"Please, How can I close my account and stop the plan",cancellation,high,neutral,yes
"Hello, I need to cancel my subscription immediately today",cancellation,high,neutral,no
"Hello, I want to stop my current plan right now",cancellation,high,neutral,no
"Hi, I need to report a bad experience today",complaint,high,negative,yes
"Hello, I am dissatisfied with the repeated delays today",complaint,high,negative,yes
"Hello, I am frustrated with how my case was handled",complaint,medium,negative,yes
"Hi, The service quality has been very poor",complaint,medium,negative,yes
Please record my complaint about the network issue as soon as possible,complaint,high,negative,no
The staff was rude and unhelpful urgently,complaint,high,negative,yes
I am unhappy with the response from customer service as soon as possible,complaint,high,negative,yes
"Please, I am unhappy with the response from customer service today",complaint,high,negative,yes
"Hi, Please record my complaint about the network issue as soon as possible",complaint,high,negative,yes
"Can you help, I want to make a complaint about your service today",complaint,high,negative,no
"Hello, The service quality has been very poor today",complaint,high,negative,yes
"Hello, The service quality has been very poor urgently",complaint,high,negative,yes
This is the second time I am facing the same problem right now,complaint,high,negative,yes
I need to report a bad experience today,complaint,high,negative,no
"Hi, Please record my complaint about the network issue today",complaint,high,negative,no
Your support team did not solve my issue urgently,complaint,high,negative,yes
"Hi, I am unhappy with the response from customer service",complaint,medium,negative,no
"Please, I am frustrated with how my case was handled urgently",complaint,high,negative,yes
"Hi, I need to report a bad experience urgently",complaint,high,negative,yes
"Hi, I am frustrated with how my case was handled",complaint,medium,negative,yes
Your support team did not solve my issue today,complaint,high,negative,no
"Please, I want to make a complaint about your service",complaint,medium,negative,no
"Hi, I am unhappy with the response from customer service as soon as possible",complaint,high,negative,yes
I am dissatisfied with the repeated delays as soon as possible,complaint,high,negative,yes
"Please, I am frustrated with how my case was handled right now",complaint,high,negative,no
The staff was rude and unhelpful as soon as possible,complaint,high,negative,yes
"Please, The staff was rude and unhelpful",complaint,medium,negative,no
I am frustrated with how my case was handled today,complaint,high,negative,yes
"Can you help, This is the second time I am facing the same problem as soon as possible",complaint,high,negative,no
This is the second time I am facing the same problem urgently,complaint,high,negative,yes
"Hi, Your support team did not solve my issue",complaint,medium,negative,yes
"Hi, I want to make a complaint about your service as soon as possible",complaint,high,negative,no
"Hello, I am unhappy with the response from customer service",complaint,high,negative,no
"Can you help, I am unhappy with the response from customer service right now",complaint,high,negative,yes
"Can you help, I want to make a complaint about your service as soon as possible",complaint,high,negative,yes
The service quality has been very poor urgently,complaint,high,negative,yes
"Hello, The staff was rude and unhelpful today",complaint,high,negative,no
"Can you help, I need to report a bad experience urgently",complaint,high,negative,no
"Hi, I need to report a bad experience as soon as possible",complaint,high,negative,yes
"Hello, I need to report a bad experience urgently",complaint,high,negative,yes
"Can you help, I am frustrated with how my case was handled",complaint,high,negative,yes
"Hello, I am unhappy with the response from customer service today",complaint,high,negative,no
"Can you help, This is the second time I am facing the same problem",complaint,high,negative,yes
"Can you help, Your support team did not solve my issue today",complaint,high,negative,no
"Hi, The staff was rude and unhelpful as soon as possible",complaint,high,negative,yes
Your support team did not solve my issue as soon as possible,complaint,high,negative,no
"Hello, I need to report a bad experience today",complaint,high,negative,no
"Can you help, I am unhappy with the response from customer service",complaint,high,negative,yes
"Can you help, I want to make a complaint about your service",complaint,high,negative,no
"Can you help, I need to report a bad experience",complaint,medium,negative,yes
"Can you help, This is the second time I am facing the same problem",complaint,medium,negative,no
"Hi, I want to make a complaint about your service right now",complaint,high,negative,no
"Can you help, I want to make a complaint about your service right now",complaint,high,negative,yes
"Hi, This is the second time I am facing the same problem as soon as possible",complaint,high,negative,yes
"Please, I want to make a complaint about your service",complaint,medium,negative,no
"Can you help, This is the second time I am facing the same problem as soon as possible",complaint,high,negative,yes
I am dissatisfied with the repeated delays right now,complaint,high,negative,no
"Hello, I am frustrated with how my case was handled as soon as possible",complaint,high,negative,no
"Hello, The service quality has been very poor urgently",complaint,high,negative,yes
"Hi, Please record my complaint about the network issue",complaint,high,negative,no
I need to report a bad experience as soon as possible,complaint,high,negative,no
"Can you help, The service quality has been very poor",complaint,high,negative,no
"Can you help, The service quality has been very poor urgently",complaint,high,negative,yes
Please record my complaint about the network issue right now,complaint,high,negative,no
"Can you help, Your support team did not solve my issue",complaint,high,negative,no
"Hello, Your support team did not solve my issue",complaint,medium,negative,yes
"Hello, I am unhappy with the response from customer service",complaint,medium,negative,no
"Hi, This is the second time I am facing the same problem",complaint,medium,negative,yes
"Hi, I am unhappy with the response from customer service right now",complaint,high,negative,yes
This is the second time I am facing the same problem,complaint,medium,negative,yes
"Can you help, The staff was rude and unhelpful right now",complaint,high,negative,no
Your support team did not solve my issue as soon as possible,complaint,high,negative,yes
"Can you help, The staff was rude and unhelpful today",complaint,high,negative,yes
"Please, Your support team did not solve my issue right now",complaint,high,negative,yes
Please record my complaint about the network issue today,complaint,high,negative,no
"Please, This is the second time I am facing the same problem right now",complaint,high,negative,no
"Please, I am unhappy with the response from customer service right now",complaint,high,negative,yes
"Please, I want to make a complaint about your service urgently",complaint,high,negative,no
"Hi, I need to report a bad experience right now",complaint,high,negative,yes
